cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020,market_value_residence_2021,market_value_nationality_2021,mv_difference_nat_vs_res_2021,market_value_residence_2022,market_value_nationality_2022,mv_difference_nat_vs_res_2022,market_value_residence_2023,market_value_nationality_2023,mv_difference_nat_vs_res_2023,market_value_residence_2024,market_value_nationality_2024,mv_difference_nat_vs_res_2024
1007,UNITED STATES,0,181900,181900,0,243603,243603,0,282298,282298,0,347018,347018,0,445718,445718,0,199420,199420,0,313794,313794,0,383955,383955,0,334221,334221,0,398387,398387,0,658172,658172,0,736936,736936,0,823467,823467,0,895294,895294,0,995280,995280,0,804373,804373,0,1032747,1032747,0,1021700,1021700,0,1311000,1311000,0,1092974,1092975,0,1287642,1287642,0,1429543,1429543
10103,ANDORRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189,AUSTRIA,3909,3890,-19,8917,8882,-35,10684,10786,102,18134,18268,134,19999,20147,148,5533,5575,42,9866,9969,103,12280,12371,91,6096,6211,115,8809,8870,61,11292,11287,-5,11156,10845,-311,10510,10310,-200,10857,10588,-269,18753,16930,-1822,12044,11418,-626,13871,13102,-769,12046,11284,-762,17212,16280,-932,12005,11546,-459,13822,13266,-556,15436,15219,-217
10251,BELGIUM,10543,10548,5,17948,17957,9,19873,20780,907,28768,29776,1008,31425,32071,645,15628,15645,17,28069,28069,0,28662,28621,-41,27958,27958,0,38530,38530,0,47371,47371,0,50000,50000,0,56298,56298,0,47252,47295,43,55693,56270,576,37642,41936,4294,51788,57115,5328,50930,63018,12088,53496,70268,16772,44486,61315,16830,45043,64044,19000,43463,67539,24076
10405,CYPRUS,10,3,-7,3,3,0,105,105,0,726,555,-171,2304,1273,-1031,425,241,-183,790,381,-409,956,344,-611,794,283,-510,1234,299,-935,2673,1718,-954,1158,617,-541,789,248,-541,622,578,-44,801,667,-134,755,402,-352,1324,686,-638,2369,1237,-1132,5835,125,-5710,2128,501,-1627,2001,44,-1956,1406,43,-1363
10502,DENMARK,10407,10407,0,14475,14473,-2,15640,15695,55,21163,21235,72,32971,33039,69,19756,19775,18,26952,26956,4,38215,38219,4,32491,32478,-13,43286,43284,-2,55019,55016,-3,62758,62790,31,79604,79598,-6,61592,61616,24,84792,84863,71,72077,72149,72,97689,97782,93,139000,139068,67,160847,160888,41,159106,158670,-436,204445,204698,253,211478,212000,521
10545,GREENLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,10,10,0,8,8,0,5,0,-5,4,0,-4,4,0,-4,3,0,-3,3,0,-3,1,1,0,1,1,0,0,0,0
10618,FAROE ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,14,0,-14,6,0,-6,3,0,-3,27,0,-27,19,0,-19,22,0,-22,58,4,-54,119,17,-102,163,4,-159,252,3,-249,233,6,-227,767,3,-764,617,2,-615,607,1,-606,555,1,-555,19,1,-18,566,1,-565,597,1,-595
10707,FINLAND,35084,34818,-266,33767,33646,-121,44283,44001,-282,55842,55535,-307,90154,89769,-386,35753,35726,-27,29643,29643,0,27244,27244,0,17480,17480,0,20188,20188,0,33360,33358,-2,31309,32168,859,33008,32996,-12,34692,35047,355,39473,39456,-16,39752,35627,-4125,38410,34677,-3732,46100,42451,-3648,54477,48126,-6351,44763,38280,-6483,41977,41655,-322,38905,39262,357
10804,FRANCE,130358,136747,6389,164530,169985,5455,205053,210876,5823,306358,317285,10927,345813,362783,16969,206403,213509,7106,243291,257778,14487,234366,246638,12272,204640,212630,7989,245755,253736,7981,334509,353748,19239,305006,320060,15054,319576,337096,17519,337581,361610,24029,433530,472154,38624,375071,406321,31250,455117,506278,51161,467061,515920,48859,562262,616852,54589,491247,539647,48399,577026,635584,58558,514735,567248,52514
